uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
collectie:periodeformeleeenheid,be.vlaanderen.bodemenondergrond.data.id.collection.periodeformeleeenheid.periodeformeleeenheid,,,Collectie van periodeformeleeenheid.,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,
quartair,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.quartair,collectie:periodeformeleeenheid,QU,Quartair,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
neogeen,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.neogeen,collectie:periodeformeleeenheid,NE,Neogeen,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
paleogeen,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.paleogeen,collectie:periodeformeleeenheid,PA,Paleogeen,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
krijt,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.krijt,collectie:periodeformeleeenheid,KR,Krijt,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
jura,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.jura,collectie:periodeformeleeenheid,JU,Jura,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
trias,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.trias,collectie:periodeformeleeenheid,TR,Trias,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
perm,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.perm,collectie:periodeformeleeenheid,PE,Perm,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
carboon,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.carboon,collectie:periodeformeleeenheid,CB,Carboon,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
devoon,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.devoon,collectie:periodeformeleeenheid,DE,Devoon,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
siluur,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.siluur,collectie:periodeformeleeenheid,SI,Siluur,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
ordovicium,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.ordovicium,collectie:periodeformeleeenheid,OR,Ordovicium,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
cambrium,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.cambrium,collectie:periodeformeleeenheid,CM,Cambrium,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
precambrium,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.precambrium,collectie:periodeformeleeenheid,PC,Precambrium,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
onbekend,be.vlaanderen.bodemenondergrond.data.id.concept.periodeformeleeenheid.onbekend,collectie:periodeformeleeenheid,ON,onbekend,,,,,,,,,,,,,conceptscheme:periodeformeleeenheid,,,,,,,conceptscheme:periodeformeleeenheid
conceptscheme:periodeformeleeenheid,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.periodeformeleeenheid,,,Geologische periodes,,,,,,,,,,,,,,,,,,,,
